direction,row_num,subsidy_type,criteria,verification_method,deadline
Мясное и мясо-молочное скотоводство,1.,Приобретение племенного быка-производителя мясного и мясо-молочного направлений,"1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья в ИСЖ и ИБСПР на момент подачи заявки (для сельскохозяйственных кооперативов – наличие регистрации маточного поголовья в ИСЖ и ИБСПР на имя сельскохозяйственного кооператива или членов кооператива). 4. Наличие регистрации приобретенного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 5. Возраст приобретенного поголовья (на момент даты продажи, указанный в племенном свидетельстве) – в пределах 8 - 26 месяцев включительно. 6. Количество приобретенных быков-производителей должно быть в следующих соотношениях к маточному поголовью: 1) для вольной случки – не менее 20 маток и не более 30 маток на 1 быка; 2) для докрытия при искусственном осеменении – 1 бык на 100 маток. 7. Принятие обязательства по целевому использованию не более двух случных сезонов подряд (не менее 18 месяцев).","Интеграционное взаимодействие с Единой автоматизированной системой управления (далее – ЕАСУ), информационной системой единого государственного кадастра недвижимости (далее – ИСЕГКН), базой данных по идентификации сельскохозяйственных животных (далее – ИСЖ) и информационной базой селекционной и племенной работы (далее – ИБСПР)",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Мясное и мясо-молочное скотоводство,2.,Приобретение племенного маточного поголовья крупного рогатого скота,"1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации приобретенного поголовья в ИБСПР и ИСЖ на момент подачи заявки. 4. Возраст приобретенного поголовья (при приобретении внутри страны – на момент даты продажи, указанный в племенном свидетельстве; при импорте – на момент постановки крупного рогатого скота на карантинирование у продавца (экспортера)): телки – в пределах 6-18 месяцев включительно; нетели – 13-26 месяцев включительно. 5. Принятие обязательства по целевому использованию не менее двух лет, за исключением норм естественной убыли (падежа).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Мясное и мясо-молочное скотоводство,3.,Удешевление затрат при выращивании племенного молодняка крупного рогатого скота мясного направления,"1. Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения. 3. Наличие регистрации реализованного племенного поголовья крупного рогатого скота, рожденного в данном хозяйстве, в ИСЖ и ИБСПР (исторические сведения). 4. Возраст животных при реализации (телки – 6-18 месяцев включительно, бычки – не старше 26 месяцев). 5. Наличие племенного статуса у реализованного поголовья, присвоенного Республиканской палатой в ИБСПР, а также наличие бонитировки.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента реализации)
Мясное и мясо-молочное скотоводство,4.,"Удешевление стоимости крупного рогатого скота мужской особи, (в том числе мужские особи молочного или молочно-мясного направлений), реализованного на откорм в откормочные площадки или на убой в мясоперерабатывающие предприятия","1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья крупного рогатого скота, а также его приплода мужской особи, рожденного в данном хозяйстве от племенного быка-производителя, в ИСЖ и ИБСПР (исторические сведения) на момент подачи заявки. 4. Реализация крупного рогатого скота мужской особи на откормочную площадку для откорма крупного рогатого скота или на мясоперерабатывающие предприятия с убойной мощностью не менее 50 голов крупного рогатого скота в сутки, имеющие учетный номер и положительное заключение специальной комиссии по форме согласно приложению 5 к настоящим Правилам. 5. При реализации на откормочную площадку: 1) наличие регистрации крупного рогатого скота мужской особи в ИСЖ и ИБСПР (исторические сведения) на имя откормочной площадки; 2) возраст реализованного поголовья от 8 до 15 месяцев включительно; 3) живой вес реализованного поголовья должен быть не менее 180 килограмм (при реализации бычков живым весом свыше 250 килограмм, выплата субсидий рассчитывается на 250 килограмм живого веса). 6. При реализации на мясоперерабатывающее предприятие: 1) наличие сведений в ЕАСУ (исторические сведения) о реализованном поголовье; 2) живой вес реализованного поголовья должен быть не менее 200 килограмм (сумма субсидий рассчитывается исходя из разницы между фактическим живым весом на момент реализации и минимальным порогом 200 килограмм, но не более 250 килограмм).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИБСПР и ИСЖ",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента реализации)
Мясное и мясо-молочное скотоводство,5.,"Удешевление стоимости реализованной говядины мясоперерабатывающими предприятиями, занимающихся убоем и первичной переработкой говядины","1. Наличие учетного номера. 2. Наличие положительного заключения специальной комиссии на мясоперерабатывающее предприятие, занимающееся убоем и первичной переработкой мяса крупного рогатого скота по форме согласно приложению 5 к настоящим Правилам.",Интеграционное взаимодействие с ЕАСУ,С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента получения оплаты за реализованную продукцию)
Молочное и молочно-мясное скотоводство,1.,Приобретение племенного маточного поголовья крупного рогатого скота,"1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации приобретенного поголовья в ИБСПР и ИСЖ на момент подачи заявки. 4. Возраст приобретенного поголовья (при приобретении внутри страны – на момент даты продажи, указанный в племенном свидетельстве; при импорте – на момент постановки крупного рогатого скота на карантинирование у продавца (экспортера)): телки – в пределах 6 - 18 месяцев включительно; нетели – 13 - 26 месяцев включительно. 5. Принятие обязательства по целевому использованию не менее двух лет, за исключением норм естественной убыли (падежа).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Молочное и молочно-мясное скотоводство,2.,Удешевление стоимости производства молока,"1. Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. 3. Наличие регистрации в ИСЖ не менее 50 голов фуражного маточного поголовья в возрасте от 23 месяцев – для племенных, 28 месяцев – для товарных животных. 4. Реализация молока на молокоперерабатывающее предприятие или цех по переработке молока, имеющий учетный номер. 5. Наличие в ИБСПР результатов ежемесячного исследования проб молока каждой дойной коровы для определения соматических клеток, проведенных в аккредитованных лабораториях. 6. Наличие положительного заключения специальной комиссии на молочно-товарную ферму по форме согласно приложению 5 к настоящим Правилам.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента получения оплаты за реализованное молоко)
Молочное и молочно-мясное скотоводство,2.1.,Сельскохозяйственный производственный кооператив (далее - СПК),"1. Наличие учетного номера (на собственный молокоприемный пункт). 2. Наличие регистрации маточного поголовья крупного рогатого скота в возрасте от 28 месяцев членов кооператива в ИСЖ на момент подачи заявки. 3. Наличие положительного заключения специальной комиссии по форме согласно приложению 5 к настоящим Правилам. 4. Реализация заготовленного молока на молокоперерабатывающее предприятие, имеющее учетный номер. 5. Наличие в ИБСПР результатов ежемесячного исследования проб молока каждой дойной коровы для определения соматических клеток, проведенных в аккредитованных лабораториях (для членов СПК, являющихся товаропроизводителями (крестьянское хозяйство, фермерское хозяйство, индивидуальный предприниматель).","Интеграционное взаимодействие с ЕАСУ, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента получения оплаты за реализованную продукцию)
Молочное и молочно-мясное скотоводство,3.,Удешевление стоимости приобретения эмбрионов крупного рогатого скота,"1. Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья в ИСЖ на момент подачи заявки. 4. Наличие регистрации приобретенного эмбриона в ИБСПР.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Скотоводство,1.,"Субсидирование стоимости услуг племенных, дистрибьютерных центров и техников-осеменаторов по искусственному осеменению маточного поголовья крупного рогатого скота товаропроизводителей и в сельскохозяйственных кооперативах","1. Наличие регистрации племенного/ дистрибьютерного центра/ техника-осеменатора в государственном электронном реестре разрешений и уведомлений в области племенного животноводства. 2. Наличие у товаропроизводителя –владельца животных регистрации маточного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 3. Для сельскохозяйственных кооперативов – наличие регистрации маточного поголовья в ИСЖ и ИБСПР на имя сельскохозяйственного кооператива или ассоциированных членов кооператива на момент подачи заявки. 4. Наличие регистрации в ИБСПР племенных быков-производителей, семя которых было использовано для искусственного осеменения. 5. Наличие договора по искусственному осеменению маточного поголовья с товаропроизводителем – получателем услуги. 6. Наличие в ИБСПР подтверждения техником-осеменатором/ племенным/ дистрибьютерным центром факта проведения искусственного осеменения и факта стельности маточного поголовья.",Интеграционное взаимодействие с ИСЖ и ИБСПР,С 20 января до 20 декабря (включительно) текущего года
Скотоводство,2.,Приобретение семени племенного быка молочного/ молочно-мясного и мясного/мясо-молочного направлений:,"1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 4. Наличие регистрации в ИБСПР племенных быков-производителей молочного и молочно-мясного направлений, семя которых было приобретено. 5. Норма приобретения из расчета две дозы на одну голову маточного поголовья. 6. Отсутствие у приобретенного семени генетических аномалий, подтвержденное Республиканской палатой (при импорте).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Скотоводство,2.1,Однополое,"1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 4. Наличие регистрации в ИБСПР племенных быков-производителей молочного и молочно-мясного направлений, семя которых было приобретено. 5. Норма приобретения из расчета две дозы на одну голову маточного поголовья. 6. Отсутствие у приобретенного семени генетических аномалий, подтвержденное Республиканской палатой (при импорте).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Скотоводство,2.2,Двуполое,"1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 4. Наличие регистрации в ИБСПР племенных быков-производителей молочного и молочно-мясного направлений, семя которых было приобретено. 5. Норма приобретения из расчета две дозы на одну голову маточного поголовья. 6. Отсутствие у приобретенного семени генетических аномалий, подтвержденное Республиканской палатой (при импорте).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Мясное птицеводство,1.,Приобретение племенного суточного молодняка родительской/прародительской формы,1. Наличие учетного номера. 2. Наличие регистрации приобретенного племенного суточного молодняка в ИБСПР на момент подачи заявки.,Интеграционное взаимодействие с ЕАСУ и ИБСПР,С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Мясное птицеводство,2.,Удешевление стоимости производства мяса курицы,1. Наличие учетного номера. 2. Наличие положительного заключения специальной комиссии на птицефабрику по форме согласно приложению 5 к настоящим Правилам.,Интеграционное взаимодействие с ЕАСУ,С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента получения оплаты за реализованное мясо курицы)
Яичное птицеводство,1.,"Приобретение суточного молодняка финальной формы яичного направления, полученного от племенной птицы","1. Наличие учетного номера. 2. Наличие регистрации приобретенного суточного молодняка финальной формы яичного направления, полученного от племенной птицы в ИБСПР на момент подачи заявки. 3. Наличие племенного свидетельства (сертификата) на родительское стадо от которого получен суточный молодняк финальной формы.",Интеграционное взаимодействие с ЕАСУ и ИБСПР,С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Овцеводство,1.,"Приобретение племенных овец, баранов-производителей","1. Наличие учетного номера (за исключением сельскохозяйственного кооператива при приобретении племенных баранов-производителей). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации приобретенного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 4. Возраст приобретенного племенного поголовья (при приобретении внутри страны - на момент даты продажи, указанный в племенном свидетельстве; при импорте - на момент постановки скота на карантинирование у продавца (экспортера)): бараны-производители – от 4 до 18 месяцев включительно, маточное поголовье овец – от 4 до 18 месяцев включительно. 5. Принятие обязательства по целевому использованию животных: маточного поголовья не менее двух лет, за исключением норм естественной убыли (падежа); баранов-производителей не менее двух случных сезонов подряд (не менее 18 месяцев). 6. Количество приобретенных племенных баранов-производителей должно быть в следующих соотношениях к маточному поголовью: 1) для вольной/ручной случки – не менее 20 маток и не более 30 маток на 1 барана; 2) для проведения искусственного осеменения – 1 баран на 300 маток; 3) для докрытия при искусственном осеменении – 1 баран на 100 маток.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
