direction,row_num,subsidy_type,criteria,verification_method,deadline
Овцеводство,2.,Удешевление затрат при выращивании племенного молодняка мелкого рогатого скота,"1. Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения. 3. Наличие регистрации реализованного племенного поголовья мелкого рогатого скота, рожденного в данном хозяйстве, в ИСЖ и ИБСПР (исторические сведения). 4. Возраст животных при реализации от 4 до 18 месяцев включительно. 5. Наличие племенного статуса у реализованного поголовья, присвоенного Республиканской палатой в ИБСПР, а также наличие бонитировки.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента реализации)
Овцеводство,3.,"Удешевление стоимости мелкого рогатого скота мужской особи, реализованного на откорм в откормочные площадки или на убой в мясоперерабатывающие предприятия","1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья мелкого рогатого скота, а также его приплода мужской особи, рожденного в данном хозяйстве в ИСЖ и ИБСПР (исторические сведения) на момент подачи заявки. 4. Реализация мелкого рогатого скота мужской особи на откормочную площадку для откорма мелкого рогатого скота или на мясоперерабатывающие предприятия с убойной мощностью не менее 300 голов мелкого рогатого скота в сутки, имеющие учетный номер и положительное заключение специальной комиссии по форме согласно приложению 5 к настоящим Правилам. 5. Возраст мелкого рогатого скота мужской особи от 4 до 12 месяцев включительно на момент реализации. 6. Наличие регистрации в ИСЖ и ИБСПР (исторические сведения) реализованного мелкого рогатого скота мужской особи на имя откормочной площадки; 6.1. При реализации поголовья на мясоперерабатывающее предприятие -наличие сведений в ЕАСУ (исторические сведения) о реализованном поголовье.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента реализации)
Овцеводство,4.,"Удешевление стоимости мелкого рогатого скота мужской особи, реализованного на откорм в откормочные площадки или на убой в мясоперерабатывающие предприятия (сезонные поставки)","1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. 3. Наличие регистрации маточного поголовья мелкого рогатого скота, а также его приплода мужской особи, рожденного в данном хозяйстве в ИСЖ и ИБСПР (исторические сведения) на момент подачи заявки. 4. Реализация мелкого рогатого скота мужской особи в период с января по апрель месяц включительно, на откормочную площадку для откорма мелкого рогатого скота или на мясоперерабатывающие предприятия с убойной мощностью не менее 300 голов мелкого рогатого скота в сутки, имеющие учетный номер и положительное заключение специальной комиссии по форме согласно приложению 5 к настоящим Правилам. 5. Возраст реализованного мелкого рогатого скота мужской особи от 4 до 6 месяцев включительно на момент реализации. 6. Живой вес реализованного поголовья мелкого рогатого скота на откормочную площадку не менее 25 килограмм. 7. Наличие регистрации в ИСЖ и ИБСПР (исторические сведения) реализованного мелкого рогатого скота мужской особи на имя откормочной площадки; 7.1. При реализации поголовья на мясоперерабатывающее предприятие, наличие сведений в ЕАСУ (исторические сведения) о реализованном поголовье.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента реализации)
Овцеводство,5.,Удешевление стоимости приобретения эмбрионов овец,"1. Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации маточного поголовья в ИСЖ на момент подачи заявки. 4. Наличие регистрации приобретенного эмбриона в ИБСПР.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Овцеводство,6.,"Субсидирование стоимости услуг племенных, дистрибьютерных центров и техников-осеменаторов по искусственному осеменению маточного поголовья овец товаропроизводителей и в сельскохозяйственных кооперативах","1. Наличие регистрации племенного/ дистрибьютерного центра/ техника-осеменатора в государственном электронном реестре разрешений и уведомлений в области племенного животноводства. 2. Наличие у товаропроизводителя –владельца животного регистрации маточного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 3. Для сельскохозяйственных кооперативов – наличие регистрации маточного поголовья в ИСЖ и ИБСПР на имя сельскохозяйственного кооператива или ассоциированных членов кооператива на момент подачи заявки. 4. Наличие договора по искусственному осеменению маточного поголовья с товаропроизводителем – получателем услуги. 5. Наличие в ИБСПР подтверждения техником-осеменатором/ племенным/ дистрибьютерным центром факта проведения искусственного осеменения маточного поголовья. 6. Наличие регистрации в ИБСПР племенных баранов-производителей, семя которых было использовано для искусственного осеменения (при использовании глубокозамороженного семени). 7. Наличие регистрации основных баранов-производителей в ИСЖ и ИБСПР (при использовании свежеоткаченного семени). 8. Наличие регистрации баранов-пробников в ИСЖ и ИБСПР. 9. Норматив нагрузки на 1 основного барана-производителя 1:300 (при использовании свежеоткаченного семени). барана-пробника – 1:100. 10. Норматив нагрузки на 1 барана-производителя (барана-пробника), использованного для докрытия - 1:100. 11. Возраст племенных баранов-производителей (баранов-пробников), использованных для докрытия, должен быть не менее 12 месяцев по состоянию на 1 октября текущего года включительно. 12. Использование одних и тех же баранов-производителей, и баранов-пробников в одном хозяйстве не более 2-х случных сезонов подряд.","Интеграционное взаимодействие с ЕАСУ, ИБСПР и ИСЖ",С 1 сентября до 20 декабря (включительно) текущего года
Овцеводство,7.,"Удешевление стоимости тонкой и полутонкой шерсти, реализованной на переработку","1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации поголовья в ИСЖ и в ИБСПР на момент подачи заявки. 4. Реализация тонкой и полутонкой шерсти, полученной от собственного поголовья, на предприятия по переработке шерсти, имеющие учетные номера и положительное заключение специальной комиссии по форме согласно приложению 5 к настоящим Правилам. 5. Наличие справки подтверждения качества шерсти, выданной лабораторией, осуществляющей оценку качества шерсти.","Интеграционное взаимодействие с ИСЖ, ЕАСУ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента получения оплаты за реализованную продукцию)
Овцеводство,8.,"Удешевление стоимости грубой и полугрубой шерсти, реализованной на переработку","1. Наличие учетного номера (за исключением сельскохозяйственного кооператива). 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации поголовья в ИСЖ и в ИБСПР на момент подачи заявки. 4. Реализация грубой и полугрубой шерсти, полученной от собственного поголовья, на предприятия по переработке шерсти, имеющих учетных номер и положительное заключение специальной комиссии по форме согласно приложению 5 к настоящим Правилам.","Интеграционное взаимодействие с ИСЖ, ЕАСУ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента получения оплаты за реализованную продукцию)
Коневодство,1.,Ведение селекционной и племенной работы с племенным маточным поголовьем отечественных пород лошадей верхового и верхово-упряжного направлений,"1. Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения. 3. Наличие регистрации племенного чистопородного маточного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 4. Наличие регистрации в ИСЖ и ИБСПР племенных чистопородных жеребцов-производителей верхового и верхово-упряжного направления, использованных для воспроизводства, в возрасте от 36 месяцев на момент подачи заявки (не требуется при искусственном осеменении). 5. Наличие регистрации племенных чистопородных жеребцов-производителей верхового и верхово-упряжного направления в ИБСПР, в возрасте от 36 месяцев на момент подачи заявки, семя которых было использовано (при воспроизводстве методом искусственного осеменения); 6. Наличие регистрации племенного/ дистрибьютерного центра/техника-осеменатора в государственном электронном реестре разрешений и уведомлений в области племенного животноводства (при воспроизводстве методом искусственного осеменения); 7. Наличие в ИБСПР подтверждения техником-осеменатором/ племенным/ дистрибьютерным центром факта проведения искусственного осеменения маточного поголовья (при воспроизводстве методом искусственного осеменения).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года
Коневодство,2.,Приобретение племенных жеребцов-производителей продуктивного направления,"1. Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации приобретенного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 4. Возраст приобретенного поголовья (при приобретении внутри страны - на момент даты продажи, указанный в племенном свидетельстве; при импорте - на момент постановки на карантинирование у продавца (экспортера)) – в пределах 18 - 60 месяцев включительно. 5. Количество приобретенных жеребцов - производителей должно быть в соотношениях не менее 20 и не более 30 маток (возрастом от 36 месяцев) на 1 производителя. 6. Принятие обязательства по целевому использованию жеребца-производителя не менее двух случных сезонов подряд (не менее 18 месяцев).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Верблюдоводство,1.,Приобретение племенных верблюдов-производителей,"1. Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации приобретенного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 4. Возраст приобретенного поголовья (при приобретении внутри страны - на момент даты продажи, указанный в племенном свидетельстве; при импорте - на момент постановки на карантинирование у продавца (экспортера)) – в пределах 12 - 60 месяцев включительно. 5. Количество приобретенных верблюдов- производителей должно быть в соотношениях не менее 20 и не более 30 маток (возрастом от 36 месяцев) на 1 производителя. 6. Принятие обязательства по целевому использованию верблюда-производителя не менее двух случных сезонов подряд (не менее 18 месяцев).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Свиноводство,1.,Приобретение племенного хряка/свинок,"1. Наличие учетного номера. 2. Наличие регистрации приобретенного поголовья в ИСЖ и ИБСПР на момент подачи заявки. 3. Возраст приобретенного поголовья: внутри страны – в пределах 3 - 12 месяцев включительно на момент даты продажи, указанный в племенном свидетельстве; при импорте – в пределах 1 - 12 месяцев включительно на момент постановки скота на карантинирование у продавца (экспортера). 4. Количество приобретенных хряков- производителей должно быть в соотношениях не менее 50 и не более 200 свиноматок на 1 хряка-производителя. 5. Принятие обязательства по целевому использованию животных: маточного поголовья не менее двух лет, за исключением норм естественной убыли (падежа); хряков-производителей не менее двух случных сезонов подряд (не менее 18 месяцев).","Интеграционное взаимодействие с ЕАСУ, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
Свиноводство,2.,"Удешевление стоимости свиней, реализованных или перемещенных на убой в мясоперерабатывающие предприятия или на убойные пункты","1. Наличие учетного номера. 2. Хозяйство с поголовьем основных свиноматок не менее 200 голов. 3. Наличие регистрации поголовья свиней в ИСЖ и ИБСПР (исторические сведения) на момент подачи заявки. 4. Реализация или перемещение свиней на убойный пункт или на мясоперерабатывающее предприятие с убойной мощностью не менее 100 голов свиней в смену, имеющие учетный номер и положительное заключение специальной комиссии по форме согласно приложению 5 к настоящим Правилам. 5. Наличие сведений в ЕАСУ (исторические сведения) о реализации или перемещении поголовья. 6. Возраст поголовья от 5 до 8 месяцев включительно на момент реализации или перемещения. 7. Живой вес реализованного или перемещенного на убой поголовья не менее 100 килограмм.","Интеграционное взаимодействие с ЕАСУ, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента реализации)
"За счет бюджетных средств из местного бюджета, по усмотрению местных исполнительных органов областей, городов республиканского значения и столицы, с учетом особенностей и специализации регионов",1.,Приобретение племенного маточного поголовья коз,"1. Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации приобретенного поголовья в ИБСПР и ИСЖ на момент подачи заявки. 4. Возраст приобретенного поголовья (при приобретении внутри страны - на момент даты продажи, указанный в племенном свидетельстве; при импорте - на момент постановки скота на карантинирование у продавца (экспортера) - от 6 до 18 месяцев включительно. 5. Принятие обязательства по целевому использованию не менее двух лет, за исключением норм естественной убыли (падежа).","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ и ИБСПР",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение двенадцати месяцев с момента приобретения)
"За счет бюджетных средств из местного бюджета, по усмотрению местных исполнительных органов областей, городов республиканского значения и столицы, с учетом особенностей и специализации регионов",2.,Удешевление стоимости производства и переработки кобыльего молока,"1.Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации как минимум 30 голов маточного поголовья возрастом старше 3-х лет в ИСЖ на момент подачи заявки. 4. Реализация молока на молокоперерабатывающее предприятие или цех по переработке молока, имеющий учетный номер. 5. Годовой объем производства кобыльего молока на 1 голову дойной кобылы не превышает 750 килограмм.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента получения оплаты за реализованную продукцию)
"За счет бюджетных средств из местного бюджета, по усмотрению местных исполнительных органов областей, городов республиканского значения и столицы, с учетом особенностей и специализации регионов",3.,Удешевление стоимости производства и переработки верблюжьего молока,"1. Наличие учетного номера. 2. Наличие земель сельскохозяйственного назначения, для товаропроизводителей, расположенных на территории городов республиканского значения – земель сельскохозяйственного использования населенных пунктов. Данный критерий не распространяется на сельскохозяйственные кооперативы, сформированные исключительно из личных подсобных хозяйств. 3. Наличие регистрации как минимум 30 голов маточного поголовья возрастом старше 3-х лет в ИСЖ на момент подачи заявки. 4. Реализация молока на молокоперерабатывающее предприятие или цех по переработке молока, имеющий учетный номер. 5. Годовой объем производства верблюжьего молока на 1 голову дойной верблюдицы не превышает 1500 килограмм.","Интеграционное взаимодействие с ЕАСУ, ИСЕГКН, ИСЖ",С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента получения оплаты за реализованную продукцию)
"За счет бюджетных средств из местного бюджета, по усмотрению местных исполнительных органов областей, городов республиканского значения и столицы, с учетом особенностей и специализации регионов",4.,Удешевление стоимости производства меда,"1. Наличие учетного номера. 2. Наличие регистрации пчелосемей в ИБСПР на момент подачи заявки. 3. Наличие справки подтверждения качества меда, выданной лабораторией, осуществляющей оценку качества меда. 4. Годовой объем производства меда не превышает 100 килограмм в год на 1 пчелосемью.",Интеграционное взаимодействие с ЕАСУ и ИБСПР,С 20 января до 20 декабря (включительно) текущего года (заявка подается в течение шести месяцев с момента получения оплаты за реализованную продукцию)
