direction,row_num,subsidy_type,unit,normative_tenge
Мясное и мясо-молочное скотоводство,1.,Приобретение отечественного племенного быка-производителя мясного и мясо-молочного направлений,Приобретенная голова,260.0
Мясное и мясо-молочное скотоводство,2.1,Отечественный,,260.0
Мясное и мясо-молочное скотоводство,2.2,"Импортированный из стран Содружества Независимых Государств, Украины",,390.0
Мясное и мясо-молочное скотоводство,2.3,"Импортированный из Австралии, стран Северной и Южной Америки, стран Европы",,525.0
Мясное и мясо-молочное скотоводство,3.,Удешевление затрат при выращивании племенного молодняка крупного рогатого скота мясного направления,Голова,15.0
Мясное и мясо-молочное скотоводство,4.,"Удешевление стоимости крупного рогатого скота мужской особи, (в том числе мужские особи молочных или молочно-мясных пород), реализованного на откорм в откормочные площадки или на убой в мясоперерабатывающие предприятия",Килограмм живого веса,300.0
Мясное и мясо-молочное скотоводство,5.,"Удешевление стоимости реализованной говядины мясоперерабатывающими предприятиями, занимающимися убоем и первичной переработкой говядины",Килограмм реализованной говядины,175.0
Молочное и молочно-мясное скотоводство,1.1,Отечественный,Приобретенная голова,350.0
Молочное и молочно-мясное скотоводство,1.2,"Импортированный из стран Содружества Независимых Государств, Украины",Приобретенная голова,390.0
Молочное и молочно-мясное скотоводство,1.3,"Импортированный из Австралии, стран Северной и Южной Америки, стран Европы",Приобретенная голова,700.0
Молочное и молочно-мясное скотоводство,2.1,Хозяйства с фуражным поголовьем коров от 600 голов,Реализованный или перемещенный килограмм на собственное перерабатывающее предприятие или в цеха,45.0
Молочное и молочно-мясное скотоводство,2.2,Хозяйства с фуражным поголовьем коров от 400 голов,Реализованный или перемещенный килограмм на собственное перерабатывающее предприятие или в цеха,30.0
Молочное и молочно-мясное скотоводство,2.3,Хозяйства с фуражным поголовьем коров от 50 голов,Реализованный или перемещенный килограмм на собственное перерабатывающее предприятие или в цеха,20.0
Молочное и молочно-мясное скотоводство,2.4,Сельскохозяйственный производственный кооператив,Реализованный килограмм на перерабатывающее предприятие или в цеха,20.0
Молочное и молочно-мясное скотоводство,3.,Удешевление стоимости приобретения эмбрионов крупного рогатого скота,Штука,80.0
Скотоводство,1.,"Субсидирование стоимости услуг племенных центров, дистрибьютерных центров по реализации семени и эмбрионов племенных животных и техников-осеменаторов по искусственному осеменению маточного поголовья крупного рогатого скота товаропроизводителей и в сельскохозяйственных кооперативах",Осемененная голова в текущем году,5.0
Скотоводство,2.1,Однополое,Приобретенная доза,10.0
Скотоводство,2.2,Двуполое,Приобретенная доза,5.0
Мясное птицеводство,1.,Приобретение племенного суточного молодняка родительской/прародительской формы,Приобретенная голова,600.0
Мясное птицеводство,2.1,Фактическое производство от 15 000 тонн,Реализованный или перемещенный килограмм на собственное перерабатывающее предприятие или в цеха,80.0
Мясное птицеводство,2.2,Фактическое производство от 10 000 тонн,Реализованный или перемещенный килограмм на собственное перерабатывающее предприятие или в цеха,70.0
Мясное птицеводство,2.3,Фактическое производство от 5 000 тонн,Реализованный или перемещенный килограмм на собственное перерабатывающее предприятие или в цеха,60.0
Мясное птицеводство,2.4,Фактическое производство от 500 тонн,Реализованный или перемещенный килограмм на собственное перерабатывающее предприятие или в цеха,50.0
Яичное птицеводство,1.,"Приобретение суточного молодняка финальной формы яичного направления, полученного от племенной птицы",Приобретенная голова,60.0
Овцеводство,1.,Приобретение отечественных племенных овец,Приобретенная голова,26.0
Овцеводство,2.,Приобретение импортированных племенных маточных овец,Приобретенная голова,52.0
Овцеводство,3.,Приобретение импортированных племенных баранов-производителей,Приобретенная голова,260.0
Овцеводство,4.,Удешевление затрат при выращивании племенного молодняка мелкого рогатого скота,Голова,4.0
Овцеводство,5.,"Удешевление стоимости мелкого рогатого скота мужской особи, реализованного на откорм в откормочные площадки или на убой в мясоперерабатывающие предприятия",Реализованная голова,3.0
Овцеводство,5.1,"Удешевление стоимости мелкого рогатого скота мужской особи, реализованного на откорм в откормочные площадки или на убой в мясоперерабатывающие предприятия (сезонные поставки)",Реализованная голова,7.0
Овцеводство,6.,Удешевление стоимости приобретения эмбрионов овец,Штука,80.0
Овцеводство,7.,"Субсидирование стоимости услуг племенных центров, дистрибьютерных центров по реализации семени и эмбрионов племенных животных и техников-осеменаторов по искусственному осеменению маточного поголовья овец товаропроизводителей и в сельскохозяйственных кооперативах",Осемененная голова/случной сезон,1.0
Овцеводство,8.1.,шерсть от 60 качества,Реализованный килограмм,200.0
Овцеводство,8.2.,шерсть от 50 качества,Реализованный килограмм,150.0
Овцеводство,9.,"Удешевление стоимости грубой и полугрубой шерсти, реализованной на переработку",Реализованный килограмм,25.0
Коневодство,1.,Ведение селекционной и племенной работы с племенным маточным поголовьем отечественных пород лошадей верхового и верхово-упряжного направлений,Голова/случной сезон,20.0
Коневодство,2.,Приобретение племенных жеребцов-производителей продуктивного направления,Приобретенная голова,175.0
Верблюдоводство,1.,Приобретение племенных верблюдов-производителей,Приобретенная голова,175.0
Свиноводство,1.,Приобретение племенных свиней,Приобретенная голова,100.0
Свиноводство,2.,"Удешевление стоимости свиней, реализованных или перемещенных на убой в мясоперерабатывающие предприятия или на убойные пункты",Голова,2.0
"За счет бюджетных средств из местного бюджета по усмотрению МИО, с учетом особенностей и специализации регионов",2.,Приобретение племенного маточного поголовья коз,Приобретенная голова,70.0
"За счет бюджетных средств из местного бюджета по усмотрению МИО, с учетом особенностей и специализации регионов",3.,Удешевление стоимости производства и переработки кобыльего молока,Килограмм,60.0
"За счет бюджетных средств из местного бюджета по усмотрению МИО, с учетом особенностей и специализации регионов",4.,Удешевление стоимости производства и переработки верблюжьего молока,Килограмм,55.0
"За счет бюджетных средств из местного бюджета по усмотрению МИО, с учетом особенностей и специализации регионов",5.,Удешевление стоимости производства меда,Реализованный килограмм,200.0
